City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
104,Arraial Do Cabo,BR,2022-04-06 23:12:27,-22.9661,-42.0278,75.06,94,75,10.36
105,Rocha,UY,2022-04-06 23:12:27,-34.4833,-54.3333,63.52,70,0,6.53
106,Lavrentiya,RU,2022-04-06 23:12:28,65.5833,-171.0,-3.68,69,100,7.9
107,Narkevychi,UA,2022-04-06 23:12:28,49.5172,26.6418,45.21,80,75,7.87
108,Marshalltown,US,2022-04-06 23:12:29,42.0494,-92.908,42.91,70,100,25.32
109,Acarau,BR,2022-04-06 23:11:38,-2.8856,-40.12,77.88,85,94,8.66
110,Sharan,RU,2022-04-06 23:12:29,54.8167,54.0,35.22,98,100,16.69
111,Tikapur,NP,2022-04-06 23:12:30,28.5,81.1333,70.75,17,4,6.31
112,Haines Junction,CA,2022-04-06 23:12:30,60.7522,-137.5108,36.84,63,91,5.03
113,Aykhal,RU,2022-04-06 23:12:30,66.0,111.5,10.31,95,100,12.48
114,Sioux Lookout,CA,2022-04-06 23:12:31,50.1001,-91.917,33.35,98,100,13.91
115,Krivodol,BG,2022-04-06 23:12:31,43.3744,23.4844,53.44,56,8,6.15
116,Biltine,TD,2022-04-06 23:12:31,14.5333,20.9167,87.73,12,4,12.5
117,Puerto Ayora,EC,2022-04-06 23:12:32,-0.7393,-90.3518,79.16,82,76,7.47
118,Fortuna,US,2022-04-06 23:12:32,40.5982,-124.1573,67.91,54,0,14.97
119,Sao Filipe,CV,2022-04-06 23:12:32,14.8961,-24.4956,72.41,73,4,11.27
120,Krasnoselkup,RU,2022-04-06 23:12:33,65.7,82.4667,19.47,94,100,14.74
121,Busselton,AU,2022-04-06 23:12:33,-33.65,115.3333,61.03,61,10,7.54
122,Lyubokhna,RU,2022-04-06 23:12:33,53.5033,34.3885,32.36,98,100,7.49
123,Richards Bay,ZA,2022-04-06 23:12:11,-28.783,32.0377,73.92,90,5,13.6
124,Rio Gallegos,AR,2022-04-06 23:11:30,-51.6226,-69.2181,42.85,52,0,6.91
125,Kano,NG,2022-04-06 23:12:34,12.0001,8.5167,87.21,9,7,5.21
126,Canto Do Buriti,BR,2022-04-06 23:12:34,-8.11,-42.9444,78.49,58,42,2.24
127,Okato,NZ,2022-04-06 23:12:34,-39.2,173.8833,62.91,61,35,13.09
128,Mahebourg,MU,2022-04-06 23:12:35,-20.4081,57.7,74.25,74,84,13.31
129,Lata,PT,2022-04-06 23:11:21,40.1629,-8.3327,54.81,96,80,1.7
130,San Patricio,US,2022-04-06 23:12:35,28.017,-97.5169,85.87,29,0,21.25
131,Berlevag,NO,2022-04-06 23:12:35,70.8578,29.0864,31.8,90,100,22.82
132,Pevek,RU,2022-04-06 23:12:36,69.7008,170.3133,-8.84,96,100,6.22
133,Yellowknife,CA,2022-04-06 23:12:36,62.456,-114.3525,32.56,88,100,5.99
134,Jinchang,CN,2022-04-06 23:12:36,38.4953,102.1739,50.36,20,0,4.65
135,Esperance,AU,2022-04-06 23:12:36,-33.8667,121.9,61.41,82,69,11.56
136,East London,ZA,2022-04-06 23:12:37,-33.0153,27.9116,61.29,61,1,22.91
137,Ambalavao,MG,2022-04-06 23:12:37,-21.8333,46.9333,63.32,95,79,3.44
138,Yuncheng,CN,2022-04-06 23:13:37,35.0231,110.9928,55.4,62,0,3.62
139,Margate,GB,2022-04-06 23:11:56,51.3813,1.3862,51.12,80,100,8.99
140,Olafsvik,IS,2022-04-06 23:13:38,64.8945,-23.7142,27.19,57,14,14.16
141,Gondanglegi,ID,2022-04-06 23:13:38,-7.7479,112.0132,75.0,91,97,11.05
142,Abu Samrah,SY,2022-04-06 23:13:38,35.3029,37.1841,56.59,80,0,13.58
143,Rumonge,BI,2022-04-06 23:13:39,-3.9736,29.4386,71.37,82,97,3.6
144,Sitka,US,2022-04-06 23:11:57,57.0531,-135.33,42.69,56,100,16.11
145,Cidreira,BR,2022-04-06 23:13:39,-30.1811,-50.2056,68.61,76,13,13.04
146,Vestmannaeyjar,IS,2022-04-06 23:13:40,63.4427,-20.2734,30.58,54,0,12.33
147,Tianpeng,CN,2022-04-06 23:13:40,30.9866,103.9393,53.37,76,2,0.94
148,Nargana,PA,2022-04-06 23:13:40,9.4428,-78.5906,81.28,81,92,8.41
149,Ancud,CL,2022-04-06 23:13:40,-41.8697,-73.8203,57.22,98,100,14.36
150,Scarborough,GB,2022-04-06 23:09:08,54.2797,-0.4044,44.78,86,87,7.0
151,Piacabucu,BR,2022-04-06 23:13:41,-10.4056,-36.4344,77.5,74,2,7.16
152,Airai,TL,2022-04-06 23:09:29,-8.9266,125.4092,63.66,79,45,1.63
153,Korla,CN,2022-04-06 23:13:41,41.7597,86.1469,58.19,27,0,4.76
