City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
162,Marsh Harbour,BS,26.5412,-77.0636,71.06,62,0,16.02,clear sky
163,Eureka,US,40.8021,-124.1637,49.19,68,43,8.99,scattered clouds
164,Cabo San Lucas,MX,22.8909,-109.9124,83.5,54,80,14.0,broken clouds
165,Killarney,IE,52.05,-9.5167,50.36,95,100,6.29,overcast clouds
166,Kloulklubed,PW,7.0419,134.2556,82.9,83,96,22.88,overcast clouds
167,Zhigansk,RU,66.7697,123.3711,4.42,93,42,12.86,scattered clouds
168,Kruisfontein,ZA,-34.0033,24.7314,61.95,88,16,2.95,few clouds
169,Prince Albert,CA,53.2001,-105.7677,21.15,58,100,16.11,overcast clouds
170,Nago,JP,26.5881,127.9761,77.43,82,17,6.53,few clouds
171,Ishigaki,JP,24.3448,124.1572,77.13,88,75,8.05,broken clouds
172,Torbay,CA,47.6666,-52.7314,35.58,89,100,23.02,light snow
173,Juneau,US,58.3019,-134.4197,33.8,34,75,13.8,broken clouds
174,Acajutiba,BR,-11.6622,-38.0172,71.96,87,5,5.53,light rain
175,Te Anau,NZ,-45.4167,167.7167,53.19,78,84,0.27,broken clouds
176,Portland,US,45.5234,-122.6762,49.51,78,75,9.22,broken clouds
177,Cidreira,BR,-30.1811,-50.2056,69.62,93,100,12.28,overcast clouds
178,Victoria,HK,22.2855,114.1577,78.85,82,0,3.0,clear sky
179,Brasilia,BR,-15.7797,-47.9297,72.52,83,75,1.14,broken clouds
180,Alofi,NU,-19.0595,-169.9187,82.29,78,75,6.91,broken clouds
181,Port Hardy,CA,50.6996,-127.4199,50.18,40,40,11.5,scattered clouds
182,Qaqortoq,GL,60.7167,-46.0333,33.35,52,94,12.93,overcast clouds
183,Nyrob,RU,60.733,56.7202,34.88,100,100,4.12,overcast clouds
184,Ahipara,NZ,-35.1667,173.1667,66.33,73,100,11.36,moderate rain
185,Washougal,US,45.5826,-122.3534,48.02,88,40,14.0,scattered clouds
186,Axim,GH,4.8699,-2.2405,81.07,85,65,7.87,broken clouds
187,Uppsala,SE,60.0,17.75,29.71,80,49,3.44,scattered clouds
188,Pevek,RU,69.7008,170.3133,-10.01,88,51,7.96,broken clouds
189,Conde,BR,-7.2597,-34.9075,76.46,88,40,2.3,scattered clouds
190,Neryungri,RU,56.6709,124.6491,19.44,88,97,7.63,overcast clouds
191,Tahoua,NE,14.8888,5.2692,91.67,18,57,1.97,broken clouds
192,Anju,KP,39.6178,125.6647,57.33,97,97,5.82,overcast clouds
193,Leh,IN,34.1667,77.5833,31.3,56,100,4.38,overcast clouds
194,Honiara,SB,-9.4333,159.95,86.27,65,87,4.34,overcast clouds
195,Harper,LR,4.375,-7.7169,80.28,86,40,5.23,scattered clouds
196,Lata,PT,40.1629,-8.3327,52.92,95,24,4.81,few clouds
197,Chama,CH,47.1821,8.4636,45.54,100,100,0.0,overcast clouds
198,Prince Rupert,CA,54.3161,-130.3201,39.29,75,20,13.8,few clouds
199,Geraldton,AU,-28.7667,114.6,57.61,88,0,5.75,clear sky
200,Keti Bandar,PK,24.1447,67.4497,79.18,82,100,16.46,overcast clouds
201,Hithadhoo,MV,-0.6,73.0833,83.34,67,47,11.83,scattered clouds
202,Omboue,GA,-1.5746,9.2618,77.59,91,78,4.41,broken clouds
203,Pathein,MM,16.7833,94.7333,77.4,80,27,5.48,scattered clouds
204,Saravan,AM,39.7196,45.6483,44.37,61,4,6.53,clear sky
205,Umm Kaddadah,SD,13.6017,26.6876,76.78,12,11,6.55,few clouds
206,Tual,ID,-5.6667,132.75,83.19,72,94,3.47,light rain
207,Pilar,BR,-9.5972,-35.9567,73.33,84,19,4.07,few clouds
208,Vila,PT,42.0304,-8.1588,43.68,93,62,5.99,light rain
209,Pangkalanbuun,ID,-2.6833,111.6167,76.42,91,59,1.43,broken clouds
210,Sinnamary,GF,5.3833,-52.95,77.36,89,85,11.05,overcast clouds
211,Bathsheba,BB,13.2167,-59.5167,79.41,83,75,14.97,broken clouds
212,Longyearbyen,SJ,78.2186,15.6401,6.64,66,0,3.44,clear sky
213,Ust-Ishim,RU,57.6935,71.1665,26.56,93,3,4.29,clear sky
214,Fort Nelson,CA,58.8053,-122.7002,18.99,45,75,11.5,broken clouds
215,Road Town,VG,18.4167,-64.6167,77.09,73,40,10.36,scattered clouds
216,Xuddur,SO,4.1213,43.8894,75.9,79,72,9.08,broken clouds
217,Bengkulu,ID,-3.8004,102.2655,75.11,90,98,3.53,overcast clouds
218,Belaya Gora,RU,68.5333,146.4167,7.52,83,63,5.57,broken clouds
219,Westport,US,41.1415,-73.3579,53.15,63,0,8.05,clear sky
220,Meulaboh,ID,4.1363,96.1285,75.33,88,47,3.13,scattered clouds
221,Fallon,US,39.4735,-118.7774,42.67,43,100,28.77,overcast clouds
222,Sorumsand,NO,59.9851,11.2398,31.28,63,74,1.16,broken clouds
223,Bubaque,GW,11.2833,-15.8333,74.95,75,26,14.47,scattered clouds
224,Coihaique,CL,-45.5752,-72.0662,44.55,65,20,3.44,few clouds
225,Iqaluit,CA,63.7506,-68.5145,15.53,78,75,10.36,broken clouds
226,Marang,MY,5.2056,103.2059,76.91,85,53,1.63,broken clouds
227,Bijie,CN,27.3125,105.2942,57.02,81,77,10.49,broken clouds
228,Omsukchan,RU,62.5333,155.8,1.51,88,69,4.99,broken clouds
229,Bagaha,IN,27.1,84.0833,75.88,71,23,9.6,few clouds
230,Airai,TL,-8.9266,125.4092,68.83,53,85,2.39,overcast clouds
231,Askino,RU,56.0901,56.5783,36.16,89,11,9.66,few clouds
232,Laguna,US,38.421,-121.4238,63.14,20,0,12.66,clear sky
233,Batagay-Alyta,RU,67.8006,130.4114,6.44,71,53,0.36,broken clouds
234,Pemangkat,ID,1.1667,108.9667,78.98,83,95,2.28,overcast clouds
235,Faanui,PF,-16.4833,-151.75,82.17,71,9,11.72,clear sky
236,Batticaloa,LK,7.7102,81.6924,78.15,80,100,3.96,overcast clouds
237,Muros,ES,42.7762,-9.0603,56.16,86,65,16.42,broken clouds
238,Shenjiamen,CN,29.9576,122.298,63.03,97,100,10.71,overcast clouds
239,Ngorongoro,TZ,-3.2397,35.4875,50.58,93,100,5.1,overcast clouds
240,Tarbert,GB,55.8628,-5.4162,44.51,90,100,15.68,overcast clouds
241,Dolinsk,RU,47.35,142.8,32.65,98,100,7.87,snow
242,Candeias,BR,-20.7676,-45.2764,66.99,79,14,3.74,few clouds
243,Cayenne,GF,4.9333,-52.3333,82.09,1,75,8.05,light rain
244,Manta,EC,-0.95,-80.7333,80.38,83,40,8.05,scattered clouds
245,Cayambe,EC,0.05,-78.1333,54.66,94,91,2.26,light rain
246,Natal,BR,-5.795,-35.2094,80.82,83,20,5.75,few clouds
247,Rio Grande,BR,-32.035,-52.0986,66.94,85,100,9.08,overcast clouds
248,Haines Junction,CA,60.7522,-137.5108,26.55,36,100,12.66,overcast clouds
249,Babushkin,RU,51.7122,105.8647,27.48,89,100,9.44,overcast clouds
250,Belawan,ID,3.7755,98.6832,75.49,91,97,4.25,overcast clouds
251,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,68.97,97,99,8.81,overcast clouds
252,Aripuana,BR,-9.1667,-60.6333,73.85,97,100,0.96,overcast clouds
253,Pinega,RU,64.7001,43.3936,32.09,98,100,4.79,overcast clouds
254,Mayo,US,38.8876,-76.5119,58.08,71,0,13.8,clear sky
255,Broome,US,42.2506,-75.833,54.37,44,100,8.99,overcast clouds
256,Namibe,AO,-15.1961,12.1522,77.14,73,78,9.55,broken clouds
257,San Lorenzo,PY,-25.3333,-57.5333,67.59,100,100,14.0,thunderstorm with light rain
258,La Grande,US,45.3246,-118.0877,38.98,68,98,11.97,overcast clouds
259,Salumbar,IN,24.1333,74.05,82.22,21,100,3.0,overcast clouds
260,Colquechaca,BO,-18.6667,-66.0167,38.57,31,9,2.75,clear sky
261,Shirokiy,RU,49.758,129.523,33.31,78,67,7.45,broken clouds
262,Upernavik,GL,72.7868,-56.1549,14.49,95,100,8.25,light snow
263,Saint-Francois,FR,46.4154,3.9054,54.84,47,0,13.8,clear sky
264,Yenagoa,NG,4.9247,6.2642,77.0,92,81,2.89,light rain
265,Mehamn,NO,71.0357,27.8492,28.31,89,92,6.49,overcast clouds
266,Ostrovnoy,RU,68.0531,39.5131,30.2,88,75,21.09,broken clouds
267,Matai,TZ,-8.3,31.5167,57.0,98,47,4.27,scattered clouds
268,Hambantota,LK,6.1241,81.1185,75.54,100,20,1.14,few clouds
269,Vao,NC,-22.6667,167.4833,77.07,74,6,13.44,clear sky
270,Zamora,EC,-4.0692,-78.9567,69.35,97,86,0.56,light rain
271,Changde,CN,29.0464,111.6783,75.74,61,100,7.25,overcast clouds
272,Novyy Urengoy,RU,66.0833,76.6333,33.69,99,100,8.16,overcast clouds
273,Sturgis,US,41.7992,-85.4192,55.2,55,100,3.44,overcast clouds
274,Nouadhibou,MR,20.931,-17.0347,64.38,82,82,20.71,broken clouds
275,Kanniyakumari,IN,8.0833,77.5667,81.12,76,100,3.67,overcast clouds
276,Lere,NG,10.387,8.5726,80.06,51,74,3.91,broken clouds
277,Sabha,LY,27.0377,14.4283,68.61,28,14,12.82,few clouds
278,Taraz,KZ,42.9,71.3667,59.41,67,100,11.18,overcast clouds
279,Popondetta,PG,-8.7537,148.2534,88.07,56,19,3.24,few clouds
280,Honavar,IN,14.2833,74.45,79.9,87,87,0.63,overcast clouds
281,Marsaxlokk,MT,35.8419,14.5431,56.08,82,0,10.36,clear sky
282,Roros,NO,62.5747,11.3842,28.24,90,100,8.05,overcast clouds
283,Mezen,RU,65.8522,44.24,33.1,96,98,6.82,overcast clouds
284,Bellevue,US,47.6104,-122.2007,54.82,48,75,12.66,broken clouds
285,Ulaangom,MN,49.9811,92.0667,30.67,41,4,1.36,clear sky
286,Gazanjyk,TM,39.2446,55.5154,64.92,53,7,9.51,clear sky
287,Tuatapere,NZ,-46.1333,167.6833,54.16,66,80,10.45,broken clouds
288,Acajutla,SV,13.5928,-89.8275,84.13,66,58,6.33,broken clouds
289,Touros,BR,-5.1989,-35.4608,79.0,78,99,9.24,overcast clouds
290,Faya,SA,18.3851,42.4509,62.71,48,2,1.81,clear sky
291,Jalu,LY,29.0331,21.5482,61.81,34,0,10.67,clear sky
292,Paso De Carrasco,UY,-34.8603,-56.0522,66.25,94,0,5.75,clear sky
293,Caravelas,BR,-17.7125,-39.2481,76.32,82,28,2.89,scattered clouds
294,Misratah,LY,32.3754,15.0925,59.47,70,22,14.88,few clouds
295,Tabou,CI,4.423,-7.3528,79.93,88,55,5.23,light rain
296,Northam,GB,51.0333,-4.2167,50.61,91,98,6.06,overcast clouds
297,Aswan,EG,24.0934,32.907,79.34,16,0,19.51,clear sky
