City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
280,Honavar,IN,79.9,overcast clouds,14.2833,74.45,Hotel Sagar Residency
289,Touros,BR,79.0,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
292,Paso De Carrasco,UY,66.25,clear sky,-34.8603,-56.0522,Hotel Sofitel Montevideo Casino Carrasco and Spa
293,Caravelas,BR,76.32,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
295,Tabou,CI,79.93,light rain,4.423,-7.3528,hotêl doufoulougou
297,Aswan,EG,79.34,clear sky,24.0934,32.907,Nuba Nile
298,Sao Pedro Do Piaui,BR,73.22,broken clouds,-5.9294,-42.7186,Pousada São Francisco
300,Santa Maria,BR,69.1,light rain,-29.6842,-53.8069,Hotel Morotin
301,Kalmunai,LK,77.65,overcast clouds,7.4167,81.8167,VS Villa
302,Saint-Pierre,RE,74.91,clear sky,-21.3393,55.4781,Lindsey Hôtel
304,Saint-Leu,RE,76.03,few clouds,-21.15,55.2833,La Caz Oceane
306,Abonnema,NG,79.02,moderate rain,4.7084,6.7931,Corper's Lodge Obonoma
311,Manono,CD,73.45,overcast clouds,-7.3,27.4167,Hotel hewa bora
318,Lucea,JM,78.85,few clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
323,Saint-Joseph,RE,73.78,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
325,Toro,CO,77.68,overcast clouds,4.6117,-76.0814,"Finca La María Toro, Valle del Cauca"
328,Nanzhang,CN,67.8,overcast clouds,31.7765,111.8386,Longmenkezhan
329,Galveston,US,77.18,overcast clouds,29.3669,-94.9669,Crystal Suites
331,Great Bend,US,66.85,clear sky,38.3645,-98.7648,Best Western Angus Inn
332,Soyo,AO,77.16,overcast clouds,-6.1349,12.3689,Hotel Mpampa
333,Port Blair,IN,77.04,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
336,Inirida,CO,76.39,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
338,Elizabeth City,US,66.02,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
